Team,1,2,3,4,5,6,7,8,9,R,H,E,R-9,W-L,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,Game_ID,10,11,12,13,14,15,16,17,18,19
MIA,0,0,0,0,0,3,0,1,3,7,10,2,7,E,0,0,0,0,0,3,3,4,7,-1,-4,-4,-4,-5,-2,-2,-1,0,360405128,0,0,,,,,,,,
TOR,0,0,0,2,0,0,0,0,0,2,9,0,2,L,0,0,0,2,2,2,2,2,2,0,0,0,1,1,1,1,-1,-1,360405130,,,,,,,,,,
TB,0,0,0,1,0,0,0,2,-,3,7,1,3,W,0,0,0,1,1,1,1,3,3,0,0,0,-1,-1,-1,-1,1,1,360405130,,,,,,,,,,
SEA,0,1,0,1,0,0,2,6,0,10,11,1,10,W,0,1,1,2,2,2,4,10,10,0,1,1,0,0,0,2,8,8,360405113,,,,,,,,,,
TEX,0,0,0,2,0,0,0,0,0,2,7,1,2,L,0,0,0,2,2,2,2,2,2,0,-1,-1,0,0,0,-2,-8,-8,360405113,,,,,,,,,,
SF,0,0,1,1,0,0,0,0,0,2,7,0,2,W,0,0,1,2,2,2,2,2,2,0,-1,0,1,1,1,1,1,1,360405108,,,,,,,,,,
MIL,0,1,0,0,0,0,0,0,0,1,6,0,1,L,0,1,1,1,1,1,1,1,1,0,1,0,-1,-1,-1,-1,-1,-1,360405108,,,,,,,,,,
COL,0,0,0,6,0,0,0,0,0,6,9,0,6,L,0,0,0,6,6,6,6,6,6,-1,-1,-2,4,4,1,-5,-5,-5,360405129,,,,,,,,,,
ARI,1,0,1,0,0,3,6,0,-,11,15,0,11,W,1,1,2,2,2,5,11,11,11,1,1,2,-4,-4,-1,5,5,5,360405129,,,,,,,,,,
CHC,0,0,4,0,0,0,2,0,0,6,9,1,6,W,0,0,4,4,4,4,6,6,6,0,0,4,4,4,3,5,5,5,360405103,,,,,,,,,,
LAA,0,0,0,0,0,1,0,0,0,1,4,0,1,L,0,0,0,0,0,1,1,1,1,0,0,-4,-4,-4,-3,-5,-5,-5,360405103,,,,,,,,,,
CHW,0,0,0,0,3,1,0,0,1,5,11,0,5,W,0,0,0,0,3,4,4,4,5,0,0,-1,-1,1,2,2,0,1,360405111,,,,,,,,,,
OAK,0,0,1,0,1,0,0,2,0,4,10,0,4,L,0,0,1,1,2,2,2,4,4,0,0,1,1,-1,-2,-2,0,-1,360405111,,,,,,,,,,
LAD,0,0,0,3,0,0,0,0,0,3,6,0,3,W,0,0,0,3,3,3,3,3,3,0,0,0,3,3,3,3,3,3,360405125,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,2,1,0,L,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,-3,-3,-3,-3,360405125,,,,,,,,,,
TOR,0,0,3,0,0,0,0,0,0,3,6,0,3,L,0,0,3,3,3,3,3,3,3,0,0,3,2,2,1,1,-2,-2,360406130,,,,,,,,,,
TB,0,0,0,1,0,1,0,3,-,5,10,0,5,W,0,0,0,1,1,2,2,5,5,0,0,-3,-2,-2,-1,-1,2,2,360406130,,,,,,,,,,
