Team,1,2,3,4,5,6,7,8,9,R,H,E,R-9,W-L,Score_1,Score_2,Score_3,Score_4,Score_5,Score_6,Score_7,Score_8,Score_9,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,Game_ID,10,11,12,13,14,15,16,17,18,19
STL,0,4,0,9,0,0,0,0,0,13,16,0,13,W,0,4,4,13,13,13,13,13,13,-3,1,1,10,10,10,10,9,9,370806117,,,,,,,,,,
CIN,3,0,0,0,0,0,0,1,0,4,8,0,4,L,3,3,3,3,3,3,3,4,4,3,-1,-1,-10,-10,-10,-10,-9,-9,370806117,,,,,,,,,,
MIL,0,0,0,0,0,1,0,0,0,1,6,0,1,L,0,0,0,0,0,1,1,1,1,0,-1,-1,-1,-1,0,0,0,-1,370806130,,,,,,,,,,
TB,0,1,0,0,0,0,0,0,1,2,7,1,2,W,0,1,1,1,1,1,1,1,2,0,1,1,1,1,0,0,0,1,370806130,,,,,,,,,,
DET,0,0,0,0,1,0,0,0,2,3,14,1,3,L,0,0,0,0,1,1,1,1,3,-4,-5,-5,-8,-7,-7,-7,-11,-9,370806101,,,,,,,,,,
BAL,4,1,0,3,0,0,0,4,-,12,17,0,12,W,4,5,5,8,8,8,8,12,12,4,5,5,8,7,7,7,11,9,370806101,,,,,,,,,,
CHW,0,3,0,0,0,0,0,0,0,3,9,0,3,L,0,3,3,3,3,3,3,3,3,-2,1,0,0,-3,-3,-3,-3,-3,370806102,,,,,,,,,,
BOS,2,0,1,0,3,0,0,0,-,6,8,0,6,W,2,2,3,3,6,6,6,6,6,2,-1,0,0,3,3,3,3,3,370806102,,,,,,,,,,
MIA,4,0,0,0,0,0,0,0,0,4,6,0,4,W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,370806115,,,,,,,,,,
ATL,0,0,0,0,0,1,0,0,0,1,4,0,1,L,0,0,0,0,0,1,1,1,1,-4,-4,-4,-4,-4,-3,-3,-3,-3,370806115,,,,,,,,,,
SD,2,0,0,0,0,0,0,0,2,4,9,1,4,E,2,2,2,2,2,2,2,2,4,2,2,-2,-2,-2,-2,-2,-2,0,370806123,0,0,0,,,,,,,
PIT,0,0,4,0,0,0,0,0,0,5,7,1,4,E,0,0,4,4,4,4,4,4,4,-2,-2,2,2,2,2,2,2,0,370806123,0,0,1,,,,,,,
TEX,5,0,0,0,0,0,0,0,0,5,7,0,5,L,5,5,5,5,5,5,5,5,5,5,1,0,0,-1,-1,-1,-1,-1,370806109,,,,,,,,,,
MIN,0,4,1,0,1,0,0,0,-,6,7,0,6,W,0,4,5,5,6,6,6,6,6,-5,-1,0,0,1,1,1,1,1,370806109,,,,,,,,,,
TOR,0,0,2,0,0,0,4,0,0,6,8,1,6,L,0,0,2,2,2,2,6,6,6,0,0,2,2,-1,-1,3,3,-1,370806118,,,,,,,,,,
HOU,0,0,0,0,3,0,0,0,4,7,16,2,7,W,0,0,0,0,3,3,3,3,7,0,0,-2,-2,1,1,-3,-3,1,370806118,,,,,,,,,,
SEA,3,4,0,0,0,0,1,0,0,8,11,0,8,W,3,7,7,7,7,7,8,8,8,3,7,5,5,2,2,3,1,1,370806207,,,,,,,,,,
KC,0,0,2,0,3,0,0,2,0,7,10,0,7,L,0,0,2,2,5,5,5,7,7,-3,-7,-5,-5,-2,-2,-3,-1,-1,370806207,,,,,,,,,,
WSH,0,0,1,0,0,0,2,5,1,9,10,0,9,W,0,0,1,1,1,1,3,8,9,0,-1,0,-1,-1,-3,-1,4,5,370806116,,,,,,,,,,
CHC,0,1,0,1,0,2,0,0,0,4,10,2,4,L,0,1,1,2,2,4,4,4,4,0,1,0,1,1,3,1,-4,-5,370806116,,,,,,,,,,
PHI,0,1,0,0,0,0,0,0,2,3,9,0,3,W,0,1,1,1,1,1,1,1,3,-1,0,0,0,0,0,-1,-1,1,370806127,,,,,,,,,,
COL,1,0,0,0,0,0,1,0,0,2,7,0,2,L,1,1,1,1,1,1,2,2,2,1,0,0,0,0,0,1,1,-1,370806127,,,,,,,,,,
OAK,0,0,0,4,1,0,1,5,0,11,18,2,11,W,0,0,0,4,5,5,6,11,11,-1,-1,-2,-2,-3,-5,-4,1,1,370806103,,,,,,,,,,
LAA,1,0,1,4,2,2,0,0,0,10,12,0,10,L,1,1,2,6,8,10,10,10,10,1,1,2,2,3,5,4,-1,-1,370806103,,,,,,,,,,
ARI,1,0,0,1,0,0,1,0,0,3,6,2,3,L,1,1,1,2,2,2,3,3,3,1,-1,-3,-2,-4,-4,-3,-3,-3,370806126,,,,,,,,,,
SF,0,2,2,0,2,0,0,0,-,6,8,0,6,W,0,2,4,4,6,6,6,6,6,-1,1,3,2,4,4,3,3,3,370806126,,,,,,,,,,
SEA,0,1,0,0,0,0,0,0,0,1,4,1,1,L,0,1,1,1,1,1,1,1,1,0,1,-3,-3,-3,-4,-8,-8,-8,370806307,,,,,,,,,,
KC,0,0,4,0,0,1,4,0,-,9,13,0,9,W,0,0,4,4,4,5,9,9,9,0,-1,3,3,3,4,8,8,8,370806307,,,,,,,,,,
LAD,3,0,2,0,0,0,0,2,1,8,10,0,8,W,3,3,5,5,5,5,5,7,8,3,3,5,5,5,5,5,7,8,370806121,,,,,,,,,,
NYM,0,0,0,0,0,0,0,0,0,0,1,0,0,L,0,0,0,0,0,0,0,0,0,-3,-3,-5,-5,-5,-5,-5,-7,-8,370806121,,,,,,,,,,
MIA,0,0,0,0,1,1,0,0,0,2,6,0,2,L,0,0,0,0,1,2,2,2,2,0,-1,-1,-2,-1,0,0,-1,-1,370807120,,,,,,,,,,
WSH,0,1,0,1,0,0,0,1,-,3,7,1,3,W,0,1,1,2,2,2,2,3,3,0,1,1,2,1,0,0,1,1,370807120,,,,,,,,,,
DET,0,0,0,0,0,0,0,0,0,0,1,0,0,L,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-3,-3,-3,370807123,,,,,,,,,,
PIT,0,1,0,0,0,0,2,0,-,3,5,0,3,W,0,1,1,1,1,1,3,3,3,0,1,1,1,1,1,3,3,3,370807123,,,,,,,,,,
SD,0,0,0,2,0,0,0,1,0,3,8,0,3,L,0,0,0,2,2,2,2,3,3,-1,-1,-3,-1,-1,-3,-5,-8,-8,370807117,,,,,,,,,,
CIN,1,0,2,0,0,2,2,4,-,11,8,0,11,W,1,1,3,3,3,5,7,11,11,1,1,3,1,1,3,5,8,8,370807117,,,,,,,,,,
MIL,0,0,3,1,0,0,0,0,0,4,8,0,4,L,0,0,3,4,4,4,4,4,4,0,0,2,1,1,1,-1,-1,-1,370807109,,,,,,,,,,
MIN,0,0,1,2,0,0,2,0,-,5,8,3,5,W,0,0,1,3,3,3,5,5,5,0,0,-2,-1,-1,-1,1,1,1,370807109,,,,,,,,,,
STL,0,1,0,6,0,0,0,2,2,11,10,0,11,W,0,1,1,7,7,7,7,9,11,0,0,0,5,5,5,5,7,8,370807107,,,,,,,,,,
KC,0,1,0,1,0,0,0,0,1,3,8,2,3,L,0,1,1,2,2,2,2,2,3,0,0,0,-5,-5,-5,-5,-7,-8,370807107,,,,,,,,,,
CHC,0,2,1,0,2,0,0,0,0,5,12,1,5,W,0,2,3,3,5,5,5,5,5,0,2,3,3,5,3,2,2,2,370807126,,,,,,,,,,
SF,0,0,0,0,0,2,1,0,0,3,9,0,3,L,0,0,0,0,0,2,3,3,3,0,-2,-3,-3,-5,-3,-2,-2,-2,370807126,,,,,,,,,,
BAL,0,0,0,0,2,0,4,0,0,6,9,0,6,W,0,0,0,0,2,2,6,6,6,0,0,0,-1,1,0,4,4,4,370807103,,,,,,,,,,
LAA,0,0,0,1,0,1,0,0,0,2,5,1,2,L,0,0,0,1,1,2,2,2,2,0,0,0,1,-1,0,-4,-4,-4,370807103,,,,,,,,,,
MIA,0,0,0,1,3,0,3,0,0,7,7,1,7,W,0,0,0,1,4,4,7,7,7,0,0,-1,0,3,3,4,4,4,370808120,,,,,,,,,,
WSH,0,0,1,0,0,0,2,0,0,3,11,0,3,L,0,0,1,1,1,1,3,3,3,0,0,1,0,-3,-3,-4,-4,-4,370808120,,,,,,,,,,
DET,0,0,0,0,0,3,0,0,0,3,5,1,3,L,0,0,0,0,0,3,3,3,3,0,0,-1,-4,-6,-3,-3,-3,-3,370808123,,,,,,,,,,
PIT,0,0,1,3,2,0,0,0,-,6,10,0,6,W,0,0,1,4,6,6,6,6,6,0,0,1,4,6,3,3,3,3,370808123,,,,,,,,,,
NYY,0,1,0,0,0,0,0,1,0,2,7,1,2,L,0,1,1,1,1,1,1,2,2,-2,-1,-3,-3,-3,-3,-3,-2,-2,370808114,,,,,,,,,,
TOR,2,0,2,0,0,0,0,0,-,4,11,0,4,W,2,2,4,4,4,4,4,4,4,2,1,3,3,3,3,3,2,2,370808114,,,,,,,,,,
COL,1,0,0,0,0,0,0,0,0,1,3,0,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-3,370808105,,,,,,,,,,
CLE,0,0,0,0,0,0,0,0,4,4,6,0,4,W,0,0,0,0,0,0,0,0,4,-1,-1,-1,-1,-1,-1,-1,-1,3,370808105,,,,,,,,,,
SD,2,1,0,0,1,1,2,0,0,7,11,0,7,W,2,3,3,3,4,5,7,7,7,2,3,3,3,4,5,4,4,4,370808117,,,,,,,,,,
CIN,0,0,0,0,0,0,3,0,0,3,9,0,3,L,0,0,0,0,0,0,3,3,3,-2,-3,-3,-3,-4,-5,-4,-4,-4,370808117,,,,,,,,,,
TEX,0,0,0,0,1,2,0,0,1,4,6,0,4,L,0,0,0,0,1,3,3,3,4,-2,-4,-4,-4,-3,-1,-2,-2,-1,370808121,,,,,,,,,,
NYM,2,2,0,0,0,0,1,0,-,5,6,0,5,W,2,4,4,4,4,4,5,5,5,2,4,4,4,3,1,2,2,1,370808121,,,,,,,,,,
BOS,0,0,0,1,0,0,0,0,1,2,12,1,2,W,0,0,0,1,1,1,1,1,2,0,0,0,1,1,1,1,1,2,370808130,,,,,,,,,,
TB,0,0,0,0,0,0,0,0,0,0,2,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-2,370808130,,,,,,,,,,
PHI,0,0,0,2,3,0,0,0,0,5,11,0,5,W,0,0,0,2,5,5,5,5,5,-1,-1,-1,1,4,4,3,3,3,370808115,,,,,,,,,,
ATL,1,0,0,0,0,0,1,0,0,2,8,1,2,L,1,1,1,1,1,1,2,2,2,1,1,1,-1,-4,-4,-3,-3,-3,370808115,,,,,,,,,,
HOU,0,3,0,0,0,0,2,0,0,5,9,0,5,L,0,3,3,3,3,3,5,5,5,-3,0,-3,-5,-5,-5,-3,-3,-3,370808104,,,,,,,,,,
CHW,3,0,3,2,0,0,0,0,-,8,13,0,8,W,3,3,6,8,8,8,8,8,8,3,0,3,5,5,5,3,3,3,370808104,,,,,,,,,,
MIL,0,1,0,3,0,0,0,0,0,4,13,1,4,L,0,1,1,4,4,4,4,4,4,0,1,-1,-4,-6,-6,-7,-7,-7,370808109,,,,,,,,,,
MIN,0,0,2,6,2,0,1,0,-,11,14,1,11,W,0,0,2,8,10,10,11,11,11,0,-1,1,4,6,6,7,7,7,370808109,,,,,,,,,,
STL,0,0,0,1,6,0,3,0,0,10,14,0,10,W,0,0,0,1,7,7,10,10,10,0,0,0,-2,4,4,7,7,7,370808107,,,,,,,,,,
KC,0,0,0,3,0,0,0,0,0,3,6,1,3,L,0,0,0,3,3,3,3,3,3,0,0,0,2,-4,-4,-7,-7,-7,370808107,,,,,,,,,,
LAD,0,0,0,2,0,1,0,0,0,3,9,1,3,L,0,0,0,2,2,3,3,3,3,0,0,0,2,1,1,-3,-3,-3,370808129,,,,,,,,,,
ARI,0,0,0,0,1,1,4,0,-,6,8,0,6,W,0,0,0,0,1,2,6,6,6,0,0,0,-2,-1,-1,3,3,3,370808129,,,,,,,,,,
SEA,0,0,1,1,0,2,1,1,0,7,11,0,6,E,0,0,1,2,2,4,5,6,6,-3,-3,-4,-3,-4,-2,-1,0,0,370808111,1,,,,,,,,,
OAK,3,0,2,0,1,0,0,0,0,6,8,3,6,E,3,3,5,5,6,6,6,6,6,3,3,4,3,4,2,1,0,0,370808111,0,,,,,,,,,
BAL,0,0,0,0,1,0,0,0,1,2,8,0,2,L,0,0,0,0,1,1,1,1,2,0,-1,-1,-1,0,0,-2,-2,-1,370808103,,,,,,,,,,
LAA,0,1,0,0,0,0,2,0,-,3,6,1,3,W,0,1,1,1,1,1,3,3,3,0,1,1,1,0,0,2,2,1,370808103,,,,,,,,,,
CHC,0,0,0,0,1,1,0,1,0,3,8,1,3,L,0,0,0,0,1,2,2,3,3,-3,-3,-3,-4,-3,-2,-3,-3,-3,370808126,,,,,,,,,,
SF,3,0,0,1,0,0,1,1,-,6,9,2,6,W,3,3,3,4,4,4,5,6,6,3,3,3,4,3,2,3,3,3,370808126,,,,,,,,,,
COL,0,0,1,0,0,0,0,0,1,3,12,0,2,E,0,0,1,1,1,1,1,1,2,0,0,-1,-1,-1,-1,-1,-1,0,370809105,0,0,1,,,,,,,
CLE,0,0,2,0,0,0,0,0,0,2,7,0,2,E,0,0,2,2,2,2,2,2,2,0,0,1,1,1,1,1,1,0,370809105,0,0,0,,,,,,,
TEX,3,1,0,0,0,1,0,0,0,5,10,0,5,W,3,4,4,4,4,5,5,5,5,3,4,4,4,3,4,4,4,4,370809121,,,,,,,,,,
NYM,0,0,0,0,1,0,0,0,0,1,3,0,1,L,0,0,0,0,1,1,1,1,1,-3,-4,-4,-4,-3,-4,-4,-4,-4,370809121,,,,,,,,,,
SEA,3,0,2,0,1,0,0,0,0,6,8,0,6,W,3,3,5,5,6,6,6,6,6,2,2,3,3,3,3,3,3,3,370809111,,,,,,,,,,
OAK,1,0,1,0,1,0,0,0,0,3,7,0,3,L,1,1,2,2,3,3,3,3,3,-2,-2,-3,-3,-3,-3,-3,-3,-3,370809111,,,,,,,,,,
BAL,0,0,1,0,0,0,0,0,0,1,4,0,1,L,0,0,1,1,1,1,1,1,1,0,0,0,-1,-1,-3,-3,-4,-4,370809103,,,,,,,,,,
LAA,0,0,1,1,0,2,0,1,-,5,10,0,5,W,0,0,1,2,2,4,4,5,5,0,0,0,1,1,3,3,4,4,370809103,,,,,,,,,,
CHC,0,0,1,0,0,0,0,0,0,1,6,0,1,L,0,0,1,1,1,1,1,1,1,0,-1,0,0,0,0,-1,-2,-2,370809126,,,,,,,,,,
SF,0,1,0,0,0,0,1,1,-,3,9,0,3,W,0,1,1,1,1,1,2,3,3,0,1,0,0,0,0,1,2,2,370809126,,,,,,,,,,
BOS,0,0,1,0,5,0,0,2,0,8,9,0,8,W,0,0,1,1,6,6,6,8,8,0,0,1,1,6,4,4,6,6,370809130,,,,,,,,,,
TB,0,0,0,0,0,2,0,0,0,2,4,2,2,L,0,0,0,0,0,2,2,2,2,0,0,-1,-1,-6,-4,-4,-6,-6,370809130,,,,,,,,,,
MIA,0,0,0,1,0,0,0,0,0,1,8,0,1,L,0,0,0,1,1,1,1,1,1,0,-1,-3,-2,-4,-7,-9,-9,-9,370809120,,,,,,,,,,
WSH,0,1,2,0,2,3,2,0,-,10,14,0,10,W,0,1,3,3,5,8,10,10,10,0,1,3,2,4,7,9,9,9,370809120,,,,,,,,,,
NYY,0,2,1,0,3,0,0,2,3,11,17,1,11,W,0,2,3,3,6,6,6,8,11,0,1,1,1,3,1,1,3,6,370809114,,,,,,,,,,
TOR,0,1,1,0,1,2,0,0,0,5,6,0,5,L,0,1,2,2,3,5,5,5,5,0,-1,-1,-1,-3,-1,-1,-3,-6,370809114,,,,,,,,,,
PIT,0,0,0,0,0,0,0,0,0,0,3,2,0,L,0,0,0,0,0,0,0,0,0,-1,-3,-3,-3,-3,-3,-6,-10,-10,370809106,,,,,,,,,,
DET,1,2,0,0,0,0,3,4,-,10,14,0,10,W,1,3,3,3,3,3,6,10,10,1,3,3,3,3,3,6,10,10,370809106,,,,,,,,,,
SD,0,0,0,0,0,3,0,0,0,3,7,1,3,L,0,0,0,0,0,3,3,3,3,-2,-2,-4,-4,-6,-5,-5,-5,-5,370809117,,,,,,,,,,
CIN,2,0,2,0,2,2,0,0,-,8,11,0,8,W,2,2,4,4,6,8,8,8,8,2,2,4,4,6,5,5,5,5,370809117,,,,,,,,,,
PHI,0,0,2,0,1,0,0,0,0,3,5,0,3,W,0,0,2,2,3,3,3,3,3,0,0,2,2,3,3,1,1,1,370809115,,,,,,,,,,
ATL,0,0,0,0,0,0,2,0,0,2,9,2,2,L,0,0,0,0,0,0,2,2,2,0,0,-2,-2,-3,-3,-1,-1,-1,370809115,,,,,,,,,,
HOU,0,0,0,0,0,0,0,1,0,1,6,1,1,L,0,0,0,0,0,0,0,1,1,0,0,0,0,-4,-7,-7,-6,-6,370809104,,,,,,,,,,
CHW,0,0,0,0,4,3,0,0,-,7,11,1,7,W,0,0,0,0,4,7,7,7,7,0,0,0,0,4,7,7,6,6,370809104,,,,,,,,,,
MIN,0,1,1,0,0,0,2,0,0,4,6,0,4,W,0,1,2,2,2,2,4,4,4,0,1,2,2,2,2,4,4,4,370809108,,,,,,,,,,
MIL,0,0,0,0,0,0,0,0,0,0,5,1,0,L,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-2,-2,-4,-4,-4,370809108,,,,,,,,,,
KC,2,1,0,0,2,0,0,0,0,5,15,1,5,L,2,3,3,3,5,5,5,5,5,2,1,0,-1,1,-3,-3,-3,-3,370809124,,,,,,,,,,
STL,0,2,1,1,0,4,0,0,-,8,11,1,8,W,0,2,3,4,4,8,8,8,8,-2,-1,0,1,-1,3,3,3,3,370809124,,,,,,,,,,
LAD,0,1,0,0,0,0,2,0,0,3,5,0,3,W,0,1,1,1,1,1,3,3,3,0,1,1,0,0,-1,1,1,1,370809129,,,,,,,,,,
ARI,0,0,0,1,0,1,0,0,0,2,7,0,2,L,0,0,0,1,1,2,2,2,2,0,-1,-1,0,0,1,-1,-1,-1,370809129,,,,,,,,,,
SD,0,0,0,1,2,0,0,0,0,3,8,0,3,L,0,0,0,1,3,3,3,3,3,0,-2,-2,-1,1,1,-4,-7,-7,370810117,,,,,,,,,,
CIN,0,2,0,0,0,0,5,3,-,10,8,0,10,W,0,2,2,2,2,2,7,10,10,0,2,2,1,-1,-1,4,7,7,370810117,,,,,,,,,,
PIT,1,1,2,2,0,0,0,1,0,7,13,0,7,W,1,2,4,6,6,6,6,7,7,-1,0,1,3,3,3,3,4,2,370810106,,,,,,,,,,
DET,2,0,1,0,0,0,0,0,2,5,9,0,5,L,2,2,3,3,3,3,3,3,5,1,0,-1,-3,-3,-3,-3,-4,-2,370810106,,,,,,,,,,
MIA,0,0,2,0,0,0,0,0,0,2,6,0,2,L,0,0,2,2,2,2,2,2,2,0,0,2,2,2,0,0,-1,-1,370810120,,,,,,,,,,
WSH,0,0,0,0,0,2,0,1,-,3,7,0,3,W,0,0,0,0,0,2,2,3,3,0,0,-2,-2,-2,0,0,1,1,370810120,,,,,,,,,,
NYM,3,0,1,0,0,0,3,0,3,10,13,1,10,W,3,3,4,4,4,4,7,7,10,3,3,4,4,4,4,7,7,10,370810122,,,,,,,,,,
PHI,0,0,0,0,0,0,0,0,0,0,4,0,0,L,0,0,0,0,0,0,0,0,0,-3,-3,-4,-4,-4,-4,-7,-7,-10,370810122,,,,,,,,,,
NYY,0,0,0,0,0,0,0,0,0,0,6,1,0,L,0,0,0,0,0,0,0,0,0,0,-1,-2,-3,-3,-3,-4,-4,-4,370810114,,,,,,,,,,
TOR,0,1,1,1,0,0,1,0,-,4,5,0,4,W,0,1,2,3,3,3,4,4,4,0,1,2,3,3,3,4,4,4,370810114,,,,,,,,,,
CLE,1,0,0,0,0,0,0,0,0,1,4,1,1,L,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,-3,-3,370810130,,,,,,,,,,
TB,0,0,0,0,1,0,0,3,-,4,10,0,4,W,0,0,0,0,1,1,1,4,4,-1,-1,-1,-1,0,0,0,3,3,370810130,,,,,,,,,,
KC,0,1,0,0,2,0,0,3,0,6,12,3,6,L,0,1,1,1,3,3,3,6,6,0,1,1,1,3,0,-4,-2,-2,370810124,,,,,,,,,,
STL,0,0,0,0,0,3,4,1,-,8,9,1,8,W,0,0,0,0,0,3,7,8,8,0,-1,-1,-1,-3,0,4,2,2,370810124,,,,,,,,,,
HOU,0,0,1,0,0,1,0,0,0,2,12,2,2,E,0,0,1,1,1,2,2,2,2,0,0,1,1,1,1,1,1,0,370810104,0,0,,,,,,,,
CHW,0,0,0,0,0,1,0,0,1,3,11,2,2,E,0,0,0,0,0,1,1,1,2,0,0,-1,-1,-1,-1,-1,-1,0,370810104,0,1,,,,,,,,
MIN,0,3,3,0,0,1,0,0,0,7,12,1,7,W,0,3,6,6,6,7,7,7,7,0,2,4,4,4,5,5,5,5,370810108,,,,,,,,,,
MIL,0,1,1,0,0,0,0,0,0,2,7,1,2,L,0,1,2,2,2,2,2,2,2,0,-2,-4,-4,-4,-5,-5,-5,-5,370810108,,,,,,,,,,
LAD,3,0,0,0,3,2,0,0,0,8,9,0,8,W,3,3,3,3,6,8,8,8,8,3,3,2,1,4,4,4,2,2,370810129,,,,,,,,,,
ARI,0,0,1,1,0,2,0,2,0,6,10,2,6,L,0,0,1,2,2,4,4,6,6,-3,-3,-2,-1,-4,-4,-4,-2,-2,370810129,,,,,,,,,,
BAL,1,0,0,2,0,2,2,0,0,7,10,2,7,W,1,1,1,3,3,5,7,7,7,0,0,0,2,2,4,6,5,5,370810111,,,,,,,,,,
OAK,1,0,0,0,0,0,0,1,0,2,7,1,2,L,1,1,1,1,1,1,1,2,2,0,0,0,-2,-2,-4,-6,-5,-5,370810111,,,,,,,,,,
LAA,0,1,0,2,0,0,0,0,3,6,8,0,6,W,0,1,1,3,3,3,3,3,6,0,1,1,3,3,3,3,0,3,370810112,,,,,,,,,,
SEA,0,0,0,0,0,0,0,3,0,3,8,0,3,L,0,0,0,0,0,0,0,3,3,0,-1,-1,-3,-3,-3,-3,0,-3,370810112,,,,,,,,,,
BOS,2,0,0,0,1,0,0,0,1,4,8,0,4,L,2,2,2,2,3,3,3,3,4,2,2,2,2,3,3,3,-2,-1,370811110,,,,,,,,,,
NYY,0,0,0,0,0,0,0,5,-,5,7,0,5,W,0,0,0,0,0,0,0,5,5,-2,-2,-2,-2,-3,-3,-3,2,1,370811110,,,,,,,,,,
NYM,0,1,3,0,2,0,0,0,1,7,13,0,7,W,0,1,4,4,6,6,6,6,7,-3,-2,0,0,2,1,1,0,1,370811122,,,,,,,,,,
PHI,3,0,1,0,0,1,0,1,0,6,13,1,6,L,3,3,4,4,4,5,5,6,6,3,2,0,0,-2,-1,-1,0,-1,370811122,,,,,,,,,,
PIT,0,0,4,0,0,0,0,0,0,4,4,0,4,W,0,0,4,4,4,4,4,4,4,0,-1,2,2,2,2,2,2,2,370811114,,,,,,,,,,
TOR,0,1,1,0,0,0,0,0,0,2,8,2,2,L,0,1,2,2,2,2,2,2,2,0,1,-2,-2,-2,-2,-2,-2,-2,370811114,,,,,,,,,,
MIN,0,0,0,3,2,0,2,0,2,9,16,0,9,W,0,0,0,3,5,5,7,7,9,-1,-1,-1,2,2,2,3,3,5,370811106,,,,,,,,,,
DET,1,0,0,0,2,0,1,0,0,4,9,0,4,L,1,1,1,1,3,3,4,4,4,1,1,1,-2,-2,-2,-3,-3,-5,370811106,,,,,,,,,,
COL,0,0,2,0,0,1,0,0,0,3,7,0,3,L,0,0,2,2,2,3,3,3,3,0,0,2,2,1,0,0,-3,-3,370811128,,,,,,,,,,
MIA,0,0,0,0,1,2,0,3,-,6,11,0,6,W,0,0,0,0,1,3,3,6,6,0,0,-2,-2,-1,0,0,3,3,370811128,,,,,,,,,,
CLE,0,0,0,0,5,0,0,0,0,5,7,0,5,W,0,0,0,0,5,5,5,5,5,0,0,0,0,5,5,5,5,5,370811130,,,,,,,,,,
TB,0,0,0,0,0,0,0,0,0,0,3,0,0,L,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,-5,-5,-5,370811130,,,,,,,,,,
HOU,0,0,0,0,0,0,0,4,0,4,8,1,4,L,0,0,0,0,0,0,0,4,4,0,0,-4,-4,-5,-5,-6,-2,-2,370811113,,,,,,,,,,
TEX,0,0,4,0,1,0,1,0,-,6,10,0,6,W,0,0,4,4,5,5,6,6,6,0,0,4,4,5,5,6,2,2,370811113,,,,,,,,,,
KC,0,0,0,1,0,1,0,0,1,3,7,1,3,L,0,0,0,1,1,2,2,2,3,-1,-2,-2,-1,-1,0,-4,-4,-3,370811104,,,,,,,,,,
CHW,1,1,0,0,0,0,4,0,-,6,9,0,6,W,1,2,2,2,2,2,6,6,6,1,2,2,1,1,0,4,4,3,370811104,,,,,,,,,,
CIN,1,0,6,3,0,0,1,0,0,11,15,0,11,W,1,1,7,10,10,10,11,11,11,1,-1,5,8,8,1,2,2,1,370811108,,,,,,,,,,
MIL,0,2,0,0,0,7,0,0,1,10,16,2,10,L,0,2,2,2,2,9,9,9,10,-1,1,-5,-8,-8,-1,-2,-2,-1,370811108,,,,,,,,,,
ATL,0,0,1,0,0,4,0,0,0,5,7,0,5,L,0,0,1,1,1,5,5,5,5,0,-4,-5,-5,-5,-1,-1,-3,-3,370811124,,,,,,,,,,
STL,0,4,2,0,0,0,0,2,-,8,8,0,8,W,0,4,6,6,6,6,6,8,8,0,4,5,5,5,1,1,3,3,370811124,,,,,,,,,,
CHC,2,1,0,0,0,2,0,3,0,8,11,0,8,W,2,3,3,3,3,5,5,8,8,2,3,3,3,1,2,2,5,5,370811129,,,,,,,,,,
ARI,0,0,0,0,2,1,0,0,0,3,5,1,3,L,0,0,0,0,2,3,3,3,3,-2,-3,-3,-3,-1,-2,-2,-5,-5,370811129,,,,,,,,,,
BAL,0,1,0,1,2,0,0,0,0,4,10,1,4,L,0,1,1,2,4,4,4,4,4,0,1,1,-1,1,1,1,-1,-1,370811111,,,,,,,,,,
OAK,0,0,0,3,0,0,0,2,-,5,10,0,5,W,0,0,0,3,3,3,3,5,5,0,-1,-1,1,-1,-1,-1,1,1,370811111,,,,,,,,,,
LAA,0,1,0,0,0,0,4,0,1,6,11,0,6,W,0,1,1,1,1,1,5,5,6,0,0,0,0,-2,-4,0,0,1,370811112,,,,,,,,,,
SEA,0,1,0,0,2,2,0,0,0,5,10,1,5,L,0,1,1,1,3,5,5,5,5,0,0,0,0,2,4,0,0,-1,370811112,,,,,,,,,,
SD,0,0,2,0,0,0,1,1,0,4,7,0,4,W,0,0,2,2,2,2,3,4,4,-1,-1,0,0,-1,-1,0,1,1,370811119,,,,,,,,,,
LAD,1,0,1,0,1,0,0,0,0,3,8,0,3,L,1,1,2,2,3,3,3,3,3,1,1,0,0,1,1,0,-1,-1,370811119,,,,,,,,,,
PIT,0,1,0,0,0,0,0,0,1,2,8,2,2,L,0,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-3,-3,-6,-6,-5,370812114,,,,,,,,,,
TOR,1,1,0,0,2,0,3,0,-,7,8,0,7,W,1,2,2,2,4,4,7,7,7,1,1,1,1,3,3,6,6,5,370812114,,,,,,,,,,
BOS,0,0,5,0,5,0,0,0,0,10,12,2,10,W,0,0,5,5,10,10,10,10,10,-2,-2,3,2,7,7,7,7,5,370812110,,,,,,,,,,
NYY,2,0,0,1,0,0,0,0,2,5,9,2,5,L,2,2,2,3,3,3,3,3,5,2,2,-3,-2,-7,-7,-7,-7,-5,370812110,,,,,,,,,,
MIN,0,0,5,2,1,3,0,0,0,11,19,0,11,L,0,0,5,7,8,11,11,11,11,-5,-5,0,1,2,5,4,1,-1,370812106,,,,,,,,,,
